,County,2009 Median Price,2010 Median Price,2011 Median Price,2012 Median Price,2013 Median Price,2014 Median Price,2015 Median Price,2016 Median Price,2010 Difference,2011 Difference,2012 Difference,2013 Difference,2014 Difference,2015 Difference,2016 Difference,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
27,1131,41900,26800,25900,27700,29600,32700,35500,45900,-15100,-900,1800,1900,3100,2800,10400,-36.03818616,-3.358208955,6.94980695,6.859205776,10.47297297,8.562691131,29.29577465
28,1005,96000,93400,89400,91400,92700,95800,104000,112400,-2600,-4000,2000,1300,3100,8200,8400,-2.708333333,-4.282655246,2.237136465,1.422319475,3.34412082,8.559498956,8.076923077
29,1343,112500,107100,105000,110200,120800,127800,136100,147700,-5400,-2100,5200,10600,7000,8300,11600,-4.8,-1.960784314,4.952380952,9.618874773,5.794701987,6.494522692,8.523144747
30,456,92700,86500,82200,77100,76800,82500,82500,83500,-6200,-4300,-5100,-300,5700,0,1000,-6.68824164,-4.971098266,-6.204379562,-0.389105058,7.421875,0,1.212121212
31,604,59300,59100,60000,63500,60100,59800,62100,64500,-200,900,3500,-3400,-300,2300,2400,-0.337268128,1.52284264,5.833333333,-5.354330709,-0.499168053,3.846153846,3.8647343
32,2093,82579,84304,79599,76249,79387,81631,81158,83307,1725,-4705,-3350,3138,2244,-473,2149,2.088908802,-5.580992598,-4.208595585,4.115463809,2.826659277,-0.579436734,2.647921339
33,23,110400,108600,107600,107500,111500,116000,122100,131900,-1800,-1000,-100,4000,4500,6100,9800,-1.630434783,-0.920810313,-0.092936803,3.720930233,4.035874439,5.25862069,8.026208026
34,1205,104500,102400,101900,102900,103900,103800,106900,115900,-2100,-500,1000,1000,-100,3100,9000,-2.009569378,-0.48828125,0.981354269,0.971817298,-0.096246391,2.986512524,8.419083255
35,2315,62200,61000,60400,61900,62400,64500,65900,69000,-1200,-600,1500,500,2100,1400,3100,-1.92926045,-0.983606557,2.483443709,0.807754443,3.365384615,2.170542636,4.704097117
36,355,81600,81900,78200,77200,79500,80200,84700,86300,300,-3700,-1000,2300,700,4500,1600,0.367647059,-4.517704518,-1.278772379,2.979274611,0.880503145,5.610972569,1.889020071
37,1732,67400,65500,57100,61400,62500,64200,69100,72600,-1900,-8400,4300,1100,1700,4900,3500,-2.818991098,-12.82442748,7.530647986,1.791530945,2.72,7.632398754,5.06512301
38,1154,264800,224300,207600,214900,219200,207500,224000,280200,-40500,-16700,7300,4300,-11700,16500,56200,-15.29456193,-7.445385644,3.516377649,2.000930665,-5.337591241,7.951807229,25.08928571
39,710,213300,188400,169000,191000,205100,225400,242600,267700,-24900,-19400,22000,14100,20300,17200,25100,-11.67369902,-10.29723992,13.01775148,7.382198953,9.897610922,7.630878438,10.34624897
40,777,135500,140600,134600,134500,134400,137100,140300,141600,5100,-6000,-100,-100,2700,3200,1300,3.763837638,-4.26742532,-0.074294205,-0.074349442,2.008928571,2.334062728,0.926585887
41,1221,306300,306400,306900,312400,322300,327800,337600,338400,100,500,5500,9900,5500,9800,800,0.032647731,0.163185379,1.792114695,3.169014085,1.706484642,2.989627822,0.236966825
42,2139,65700,61700,63100,61100,50300,53700,52400,54500,-4000,1400,-2000,-10800,3400,-1300,2100,-6.088280061,2.26904376,-3.169572108,-17.67594108,6.75944334,-2.420856611,4.007633588
43,1846,122300,121600,117200,119200,117900,118900,123900,132500,-700,-4400,2000,-1300,1000,5000,8600,-0.572363042,-3.618421053,1.706484642,-1.090604027,0.848176421,4.205214466,6.941081517
44,223,116900,114100,109600,109800,116200,118400,122300,129200,-2800,-4500,200,6400,2200,3900,6900,-2.395209581,-3.943908852,0.182481752,5.828779599,1.893287435,3.293918919,5.641864268
45,455,110100,109700,106900,107600,108400,113100,116600,124900,-400,-2800,700,800,4700,3500,8300,-0.363306085,-2.552415679,0.654817587,0.743494424,4.335793358,3.094606543,7.118353345
46,1485,76500,76000,75000,76000,79000,83000,87900,91600,-500,-1000,1000,3000,4000,4900,3700,-0.653594771,-1.315789474,1.333333333,3.947368421,5.063291139,5.903614458,4.209328783
47,2843,117500,113100,110500,111200,109500,118600,135000,133500,-4400,-2600,700,-1700,9100,16400,-1500,-3.744680851,-2.298850575,0.633484163,-1.528776978,8.310502283,13.82799325,-1.111111111
48,348,119000,124700,125100,126600,131700,135000,138200,144100,5700,400,1500,5100,3300,3200,5900,4.789915966,0.320769848,1.199040767,4.028436019,2.505694761,2.37037037,4.269175109
