,County,2010 Median Rent Price,2011 Median Rent Price,2012 Median Rent Price,2013 Median Rent Price,2014 Median Rent Price,2015 Median Rent Price,2016 Median Rent Price,2011 Rent Difference,2012 Rent Difference,2013 Rent Difference,2014 Rent Difference,2015 Rent Difference,2016 Rent Difference,2011 Rent Percent Change,2012 Rent Percent Change,2013 Rent Percent Change,2014 Rent Percent Change,2015 Rent Percent Change,2016 Rent Percent Change
39,78,1301,1402,1489,1597,1772,1911,1948,101,87,108,175,139,37,7.763259032,6.205420827,7.25319006,10.95804634,7.844243792,1.936159079
40,2375,1233,1195,1182,1261,1319,1348,1336,-38,-13,79,58,29,-12,-3.081914031,-1.087866109,6.68358714,4.599524187,2.19863533,-0.890207715
41,1044,1333,1354,1368,1357,1391,1541,1635,21,14,-11,34,150,94,1.575393848,1.033973412,-0.804093567,2.505526898,10.78360891,6.099935107
42,1920,1044,837,798,791,841,885,831,-207,-39,-7,50,44,-54,-19.82758621,-4.659498208,-0.877192982,6.321112516,5.231866825,-6.101694915
43,202,2617,2677,2704,2742,2769,2761,2850,60,27,38,27,-8,89,2.292701567,1.008591707,1.405325444,0.984682713,-0.288912965,3.223469757
44,821,1031,1058,1111,1181,1118,1162,1167,27,53,70,-63,44,5,2.618816683,5.009451796,6.300630063,-5.33446232,3.935599284,0.430292599
45,368,871,864,871,869,917,942,951,-7,7,-2,48,25,9,-0.803673938,0.810185185,-0.229621125,5.523590334,2.726281352,0.955414013
46,1842,1160,1190,1169,1169,1230,1271,1301,30,-21,0,61,41,30,2.586206897,-1.764705882,0,5.218135158,3.333333333,2.360346184
47,2269,739,757,827,834,807,795,834,18,70,7,-27,-12,39,2.435723951,9.247027741,0.84643289,-3.237410072,-1.486988848,4.905660377
48,498,1332,1342,1047,962,1098,1143,1167,10,-295,-85,136,45,24,0.750750751,-21.98211624,-8.11843362,14.13721414,4.098360656,2.099737533
49,163,1556,1477,1535,1511,1468,1560,1505,-79,58,-24,-43,92,-55,-5.077120823,3.926878808,-1.563517915,-2.845797485,6.267029973,-3.525641026
50,1792,903,864,825,825,875,857,887,-39,-39,0,50,-18,30,-4.318936877,-4.513888889,0,6.060606061,-2.057142857,3.500583431
51,2778,932,934,902,850,1012,1068,968,2,-32,-52,162,56,-100,0.214592275,-3.426124197,-5.764966741,19.05882353,5.533596838,-9.36329588
52,461,1181,1224,1150,1263,1271,1287,1309,43,-74,113,8,16,22,3.640982218,-6.045751634,9.826086957,0.63341251,1.258851298,1.709401709
53,1749,1341,1285,1303,1407,1408,1549,1515,-56,18,104,1,141,-34,-4.175988069,1.40077821,7.981580967,0.071073205,10.01420455,-2.194964493
54,1505,946,940,912,1021,994,1005,1047,-6,-28,109,-27,11,42,-0.634249471,-2.978723404,11.95175439,-2.64446621,1.106639839,4.179104478
55,1893,1124,1310,1438,1227,1158,1231,1087,186,128,-211,-69,73,-144,16.5480427,9.770992366,-14.67315716,-5.623471883,6.303972366,-11.69780666
56,1766,1110,1133,1139,1195,1180,1189,1198,23,6,56,-15,9,9,2.072072072,0.52956752,4.916593503,-1.255230126,0.762711864,0.756938604
57,228,1139,1027,1126,1246,1283,1377,1425,-112,99,120,37,94,48,-9.833187006,9.639727361,10.65719361,2.969502408,7.326578332,3.48583878
58,1562,1080,1066,1025,1066,1007,1030,1043,-14,-41,41,-59,23,13,-1.296296296,-3.846153846,4,-5.534709193,2.284011917,1.262135922
59,73,1186,1201,1230,1244,1287,1316,1302,15,29,14,43,29,-14,1.264755481,2.414654455,1.138211382,3.45659164,2.253302253,-1.063829787
60,48,1590,1580,1610,1640,1642,1668,1683,-10,30,30,2,26,15,-0.628930818,1.898734177,1.863354037,0.12195122,1.583434836,0.899280576
61,2077,1097,1002,972,1018,1059,1134,1147,-95,-30,46,41,75,13,-8.659981768,-2.994011976,4.732510288,4.027504912,7.082152975,1.14638448
62,196,1544,1541,1603,1610,1828,1827,1883,-3,62,7,218,-1,56,-0.194300518,4.023361454,0.436681223,13.54037267,-0.054704595,3.0651341
63,881,850,890,880,911,907,942,894,40,-10,31,-4,35,-48,4.705882353,-1.123595506,3.522727273,-0.439077936,3.858875413,-5.095541401
64,1593,915,904,895,875,942,912,975,-11,-9,-20,67,-30,63,-1.202185792,-0.995575221,-2.234636872,7.657142857,-3.184713376,6.907894737
65,1561,777,991,1052,1095,1062,1013,1095,214,61,43,-33,-49,82,27.54182754,6.155398587,4.087452471,-3.01369863,-4.61393597,8.094768016
66,1443,998,963,994,997,1008,1077,1162,-35,31,3,11,69,85,-3.507014028,3.219106957,0.301810865,1.10330993,6.845238095,7.892293408
67,1414,1021,991,1031,1082,1130,1142,1212,-30,40,51,48,12,70,-2.938295788,4.036326942,4.946653734,4.436229205,1.061946903,6.129597198
68,2043,652,717,819,762,769,744,744,65,102,-57,7,-25,0,9.969325153,14.22594142,-6.95970696,0.918635171,-3.250975293,0
69,1362,991,911,863,914,957,1021,1012,-80,-48,51,43,64,-9,-8.072653885,-5.268935236,5.909617613,4.704595186,6.687565308,-0.881488737
70,1428,1170,1015,1149,1193,1304,1354,1375,-155,134,44,111,50,21,-13.24786325,13.20197044,3.829416884,9.304274937,3.834355828,1.550960118
71,678,815,866,885,941,948,930,973,51,19,56,7,-18,43,6.257668712,2.193995381,6.327683616,0.743889479,-1.898734177,4.623655914
72,1279,1201,1076,1053,1149,1193,1277,1316,-125,-23,96,44,84,39,-10.40799334,-2.137546468,9.116809117,3.829416884,7.041072925,3.05403289
73,1353,975,765,793,809,806,831,853,-210,28,16,-3,25,22,-21.53846154,3.660130719,2.017654477,-0.370828183,3.101736973,2.647412756
74,1543,1143,1065,1030,1090,1102,1095,1002,-78,-35,60,12,-7,-93,-6.824146982,-3.286384977,5.825242718,1.100917431,-0.635208711,-8.493150685
75,253,1233,1298,1354,1408,1588,1784,1828,65,56,54,180,196,44,5.271695053,4.314329738,3.988183161,12.78409091,12.34256927,2.466367713
76,1660,1122,1195,1097,1328,1201,1153,1168,73,-98,231,-127,-48,15,6.506238859,-8.20083682,21.05742935,-9.563253012,-3.996669442,1.300954033
77,239,1025,890,991,1002,1005,1084,1038,-135,101,11,3,79,-46,-13.17073171,11.34831461,1.109989909,0.299401198,7.860696517,-4.243542435
78,775,1184,1231,1240,1291,1300,1347,1286,47,9,51,9,47,-61,3.969594595,0.731112916,4.112903226,0.697134005,3.615384615,-4.528582034
79,892,759,792,868,979,965,981,882,33,76,111,-14,16,-99,4.347826087,9.595959596,12.78801843,-1.430030644,1.658031088,-10.09174312
80,2431,1022,1000,1004,1052,990,1051,1085,-22,4,48,-62,61,34,-2.152641879,0.4,4.780876494,-5.893536122,6.161616162,3.235014272
81,596,1061,1025,1076,1188,1135,1106,1104,-36,51,112,-53,-29,-2,-3.393025448,4.975609756,10.40892193,-4.461279461,-2.555066079,-0.180831826
82,1567,949,920,954,962,1009,1011,1125,-29,34,8,47,2,114,-3.055848261,3.695652174,0.838574423,4.885654886,0.198216056,11.27596439
83,479,1153,1197,1086,1149,1156,1179,1224,44,-111,63,7,23,45,3.81613183,-9.273182957,5.801104972,0.609225413,1.989619377,3.816793893
84,1480,1200,1137,1194,1200,1239,1191,1288,-63,57,6,39,-48,97,-5.25,5.013192612,0.502512563,3.25,-3.87409201,8.144416457
