,County,Value_measure_1,Value_measure_2,Difference
159,1335,151100.0,154800.0,3700.0
160,764,177000.0,168200.0,-8800.0
161,2564,65500.0,100300.0,34800.0
162,155,306100.0,405000.0,98900.0
163,2126,166500.0,175800.0,9300.0
164,2515,62400.0,65400.0,3000.0
165,927,110600.0,103300.0,-7300.0
166,1378,90600.0,91100.0,500.0
167,3000,90594.0,167035.0,76441.0
168,1528,149000.0,172400.0,23400.0
169,1533,94000.0,80400.0,-13600.0
170,1748,114200.0,115200.0,1000.0
171,1746,109100.0,96800.0,-12300.0
172,509,94500.0,121700.0,27200.0
173,377,114700.0,125100.0,10400.0
174,1565,81700.0,78200.0,-3500.0
175,1213,149900.0,173400.0,23500.0
176,1258,145000.0,166200.0,21200.0
177,925,68800.0,82200.0,13400.0
178,861,129700.0,143900.0,14200.0
179,1188,133600.0,142700.0,9100.0
180,2372,117900.0,150100.0,32200.0
181,949,91600.0,86900.0,-4700.0
182,80,246500.0,250700.0,4200.0
183,595,286900.0,288600.0,1700.0
184,20,313300.0,322400.0,9100.0
185,2276,76970.0,69896.0,-7074.0
186,211,108900.0,98300.0,-10600.0
187,550,262300.0,335700.0,73400.0
188,1160,149000.0,179800.0,30800.0
189,1928,142200.0,150900.0,8700.0
190,2358,65600.0,65000.0,-600.0
191,642,95200.0,139900.0,44700.0
192,1631,66600.0,74400.0,7800.0
193,177,139200.0,138100.0,-1100.0
194,352,224400.0,203300.0,-21100.0
195,1728,198400.0,193600.0,-4800.0
196,665,79000.0,82600.0,3600.0
197,906,91129.0,100588.0,9459.0
198,1384,86700.0,87900.0,1200.0
199,71,296500.0,285800.0,-10700.0
200,2071,77600.0,87500.0,9900.0
201,627,130900.0,164300.0,33400.0
202,1427,114900.0,135900.0,21000.0
203,1439,138100.0,123400.0,-14700.0
204,182,199300.0,214300.0,15000.0
205,1673,82600.0,73000.0,-9600.0
206,2058,60600.0,63100.0,2500.0
207,403,94700.0,95800.0,1100.0
208,1403,167600.0,260200.0,92600.0
209,2844,86600.0,102600.0,16000.0
210,105,232200.0,197900.0,-34300.0
211,1588,166600.0,167100.0,500.0
212,990,147600.0,130500.0,-17100.0
213,1457,106100.0,102800.0,-3300.0
214,1587,91400.0,104400.0,13000.0
215,2605,71800.0,83800.0,12000.0
216,129,135800.0,135600.0,-200.0
217,225,163231.0,187043.0,23812.0
218,192,215300.0,223400.0,8100.0
219,1817,112900.0,100100.0,-12800.0
220,231,152300.0,146800.0,-5500.0
221,1369,83700.0,83400.0,-300.0
222,1340,188200.0,193700.0,5500.0
223,1237,98352.0,97843.0,-509.0
224,2029,39890.0,39306.0,-584.0
225,634,247600.0,236600.0,-11000.0
226,1259,99600.0,127500.0,27900.0
227,2316,60700.0,57100.0,-3600.0
228,2708,79200.0,74000.0,-5200.0
229,2366,83500.0,77100.0,-6400.0
230,425,98300.0,91700.0,-6600.0
231,1632,100000.0,113900.0,13900.0
232,786,137045.0,135055.0,-1990.0
233,2774,38600.0,38900.0,300.0
234,1313,73300.0,68200.0,-5100.0
235,1847,92200.0,107900.0,15700.0
236,2309,78900.0,91500.0,12600.0
237,1575,119600.0,125200.0,5600.0
238,1639,102500.0,116500.0,14000.0
239,603,146400.0,148400.0,2000.0
